# Latitude, Longitude
 43.661476,-79.395189
 39.332604,-76.623190
 45.703255, 13.718013
 43.661476,-79.395189
 39.166381,-86.526621
 36.802151,-121.788163
 37.808381,-122.267579
 41.790113,-87.600732
 41.744949,-111.804294
 51.559882, -0.133458
 42.727288,-84.482106
 54.980095, -1.614614
 53.523454,-113.525995
 49.261715,-123.253430
 39.327580,-76.620758
 48.831673,  2.355623
 42.359133,-71.093201
 43.470130,-80.535771
 44.632261,-63.580263
 43.783551,-79.186397
 53.948193, -1.052914
 59.939959, 10.721750
 40.808078,-73.963568
 40.428267,-86.914325
 37.875928,-122.250042
 49.261715,-123.253430
 37.869500,-122.258949
 54.980095, -1.614614
 34.141411,-118.124900
 38.831513,-77.308746
 51.757137, -1.256905
 43.261328,-79.920248
 38.648056,-90.305096
 32.895330,-117.242188
 34.227425,-77.879179
 21.300662,-157.819165
 55.945328, -3.191184
 30.283599,-97.734428
 49.261715,-123.253430
 41.790113,-87.600732
 45.417417,-73.948928
 43.469128,-80.539865
 49.261715,-123.253430
 48.264934, 11.669121
 43.647118,-79.394300
 48.536980,  9.058935
 40.808078,-73.963568
 37.228384,-80.423417
 49.261715,-123.253430
-33.773636,151.112005
-37.825328,144.951621
 47.655965,-122.309377
 37.875928,-122.250042
 38.031441,-78.499356
 33.900058, 35.482727
 41.744949,-111.804294
 22.310100, 39.125900
 32.236358,-110.949540
 51.524789, -0.133578
-33.929492, 18.865391
 53.467102, -2.233958
 37.869500,-122.258949
 53.478349, -2.241605
 48.826290,  2.346420
 39.291389,-76.625000
 43.077180,-89.403990
 52.333990,  4.863050
 54.327070, 10.182650
 39.071410,-77.464270
 37.429490,-122.171860
 37.875928,-122.250042
 43.647120,-79.394300
 51.759865, -1.258648
 38.549260,-121.767090
 36.008030,-78.923230
 50.060833, 19.932778
 36.002830,-78.938270
 40.031310,-105.245900
 42.388889,-72.527778
 53.523450,-113.526000
 50.937716, -1.395599
 42.350760,-71.062740
 41.789722,-87.599722
 49.276765,-122.917957
 32.887151,-117.246212
 41.790113,-87.600732
 42.362500,-71.085000
 30.283599,-97.734428
-43.523333,172.581944
 35.208590,-97.445660
 59.939959, 10.721750
 30.538978,114.321928
 39.166381,-86.526621
 51.377743, -2.326378
 37.228384,-80.423417
 41.740800,-111.814160
 41.705220,-86.235310
 47.655000,-122.303333
 40.443322,-79.943583
 44.968657,-93.274570
 38.958455,-95.243284
 32.301920,-90.873352
 43.077180,-89.403990
 41.662930,-91.562030
 51.457971, -2.601474
 43.468889,-80.540000
 42.724085,-84.476265
-34.919159,138.604140
 49.261111,-123.253056
-37.908300,145.138000
 34.052778,-118.255833
 41.526667,-70.663056
